Species,Longitude,Latitude,Trap,Station,Date,Tavg,WetBulb,PrecipTotal,AvgSpeed,Heat,Cool,Tmax,Tmin,DewPoint,ResultSpeed,ResultDir,StnPressure,SeaLevel,Rain,Sunrise,Sunset,WnvPresent
CULEX PIPIENS,-87.676709,41.688324,T086,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1
CULEX PIPIENS,-87.599862,41.673408,T115,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1
CULEX PIPIENS,-87.66634300000001,41.822536,T074,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1
CULEX PIPIENS,-87.536497,41.702723999999996,T103,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1
CULEX PIPIENS/RESTUANS,-87.64886,41.862292,T091,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1
CULEX PIPIENS,-87.648064,41.721474,T085,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1
CULEX PIPIENS,-87.72460799999999,41.662014,T135,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1
CULEX PIPIENS/RESTUANS,-87.677512,41.731922,T096,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,1
CULEX PIPIENS/RESTUANS,-87.648064,41.721474,T085,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0
CULEX PIPIENS/RESTUANS,-87.64997,41.723195000000004,T089,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0
CULEX PIPIENS,-87.64997,41.723195000000004,T089,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0
CULEX PIPIENS/RESTUANS,-87.666901,41.868077,T090,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0
CULEX PIPIENS/RESTUANS,-87.72460799999999,41.662014,T135,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0
CULEX PIPIENS/RESTUANS,-87.707973,41.682587,T158,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0
CULEX PIPIENS,-87.707973,41.682587,T158,2.0,2007-09-05,82.0,69.0,0.0,6.7,0.0,17.0,91.0,72.0,62.0,6.4,19.0,29.31,29.94,0.0,521.0,1821.0,0
